python,selenium,beautiful soup,scikit learn,numpy,pandas,linguagem r,banco de dados,deep learning,machine learning,data science,sistemas embarcados IoT,IA Generativa,Cybersecurity,Termo
1,0,0,0,1,1,0,1,0,0,0,0,0,0,1
1,0,0,0,1,0,0,0,0,1,0,0,0,0,1
0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
1,1,1,1,0,1,0,0,0,0,0,0,0,0,1
1,0,0,0,0,0,0,0,0,1,0,0,0,1,1
1,0,0,0,1,1,0,0,0,0,0,0,0,1,1
1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
1,0,1,0,0,1,0,0,0,0,1,0,0,0,1
1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
1,1,0,0,0,1,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
1,1,0,0,0,0,0,0,0,0,0,1,0,1,1
1,1,0,0,1,0,0,0,0,0,0,0,0,0,1
1,1,0,0,0,0,0,1,0,0,0,0,0,0,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,1,1,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
1,0,1,1,0,1,0,0,0,0,0,1,0,0,1
1,1,0,1,0,0,0,0,0,1,0,0,0,0,1
1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1,1,0,1,1,1,0,1,0,0,0,0,0,0,1
1,0,1,0,1,1,1,1,0,1,1,0,0,0,2
1,1,1,0,0,1,1,1,0,0,0,0,0,0,2
1,1,1,0,1,1,1,0,0,0,1,0,0,0,2
1,1,0,1,1,0,1,1,0,1,0,1,0,0,2
1,1,1,1,1,0,0,1,0,0,0,0,0,0,2
1,0,1,1,1,1,1,0,0,0,1,0,0,0,2
1,1,1,0,1,1,1,0,1,1,0,0,0,1,2
1,1,1,1,1,1,1,1,0,0,0,0,0,0,2
1,1,1,0,0,1,1,1,0,0,0,0,0,0,2
1,0,1,1,1,1,1,1,0,0,0,0,0,0,2
1,0,1,0,1,1,1,1,0,1,0,0,0,0,2
1,1,1,0,1,1,1,1,1,0,0,0,0,0,2
1,1,1,1,1,1,1,1,0,1,0,0,0,1,2
1,1,1,1,1,1,0,1,0,0,0,0,0,0,2
1,0,1,1,0,1,1,1,0,0,0,0,0,0,2
1,1,1,1,1,1,1,1,0,1,0,0,0,1,2
1,0,1,1,0,1,1,1,0,0,0,0,0,0,2
1,1,1,1,1,1,1,0,0,1,0,0,0,0,2
1,1,1,1,1,1,1,1,0,0,0,1,0,0,2
1,1,0,0,1,0,1,1,1,1,0,0,0,0,2
1,1,0,0,1,0,1,0,0,0,1,0,0,0,2
1,0,0,1,1,1,1,1,0,0,0,0,0,0,2
1,1,1,1,1,0,1,1,1,1,0,0,0,0,2
1,0,1,1,1,1,1,1,0,0,0,0,1,0,2
1,1,1,1,1,1,1,1,0,0,0,0,0,0,2
1,1,0,1,1,1,0,0,0,0,1,0,0,0,2
1,1,1,1,1,0,1,1,1,1,0,0,0,0,3
1,1,1,1,1,1,1,0,0,0,1,0,0,1,3
1,1,1,1,1,1,1,0,0,1,0,1,0,0,3
1,1,0,1,1,1,1,1,0,1,0,0,0,0,3
1,0,1,0,1,1,1,1,0,1,0,0,0,1,3
1,1,0,1,1,1,1,1,0,1,0,0,1,0,3
1,1,0,1,1,1,1,1,0,0,0,0,0,0,3
1,0,1,1,1,1,1,1,0,1,0,0,0,0,3
1,1,0,1,1,1,1,0,0,1,1,0,0,1,3
1,0,1,1,1,0,1,1,1,0,0,0,0,0,3
1,1,1,1,1,1,1,1,0,1,0,0,1,0,3
1,1,0,1,1,1,0,1,1,1,1,0,0,0,3
1,1,0,0,1,1,1,1,0,1,0,0,0,0,3
1,0,1,1,1,1,1,0,0,1,0,0,0,1,3
1,1,1,1,1,1,1,1,1,0,0,1,0,0,3
1,0,1,1,0,1,1,1,0,1,1,0,0,0,3
1,1,1,1,0,1,1,1,1,1,0,0,0,1,3
1,1,1,1,1,1,1,1,0,1,0,1,1,0,3
1,0,0,1,1,1,1,1,0,1,0,0,0,0,3
0,1,1,1,1,1,1,1,0,1,0,1,0,0,3
1,0,0,1,1,0,1,1,0,1,1,0,0,0,3
1,1,0,1,1,1,1,1,0,0,0,0,0,0,3
1,1,0,1,1,1,1,1,0,1,0,0,0,1,3
1,1,0,1,1,1,1,1,1,1,0,0,0,0,3
1,1,1,1,1,1,0,1,0,1,0,1,0,0,3
1,1,1,0,1,1,1,1,0,1,0,0,0,0,3
1,1,0,1,1,1,1,0,0,1,0,0,0,1,3
1,0,1,1,1,1,1,1,0,1,0,0,0,0,3
1,1,0,1,1,1,1,1,0,1,0,1,0,0,3
1,1,0,1,0,1,1,1,1,1,0,0,0,0,3
1,1,1,1,1,1,1,1,1,1,1,1,1,1,4
1,0,1,1,1,1,1,0,1,0,0,1,1,1,4
1,1,1,1,1,1,1,1,1,1,1,1,0,1,4
1,1,0,1,1,1,1,1,1,1,1,1,0,1,4
1,1,1,1,1,0,1,1,0,1,1,1,1,0,4
1,0,1,1,1,1,1,1,1,1,0,0,1,1,4
1,1,1,1,1,1,1,0,1,1,1,1,0,1,4
1,1,1,1,0,1,1,1,1,1,1,1,1,1,4
1,1,1,1,1,1,1,1,0,1,1,1,0,1,4
1,1,1,1,1,1,1,1,1,0,1,0,1,1,4
1,1,1,1,1,1,1,1,1,1,1,1,1,0,4
1,1,1,1,1,1,1,1,1,1,1,1,1,1,4
1,1,0,1,1,1,1,1,1,1,0,1,0,1,4
1,1,1,1,1,0,1,1,0,1,1,0,1,1,4
1,1,1,1,0,1,1,0,1,1,1,0,1,1,4
1,0,1,1,1,1,1,1,1,1,1,1,1,0,4
1,1,0,1,1,0,1,1,1,1,0,1,0,1,4
1,1,1,1,1,1,1,1,1,1,1,1,1,1,4
1,1,0,1,1,1,1,1,1,1,0,1,0,1,4
1,1,1,1,1,1,1,1,1,1,1,1,1,0,4
1,1,1,1,0,1,1,1,1,1,1,1,1,1,4
